step,loss,time_seconds
768,0.181429,39.81
769,0.187224,39.85
770,0.327043,39.91
771,0.281805,39.96
772,0.286077,40.00
773,0.318321,40.04
774,0.116095,40.07
775,0.110368,40.11
776,0.216229,40.14
777,0.268013,40.18
778,0.291529,40.21
779,0.345885,40.26
780,0.265221,40.33
781,0.279224,40.40
782,0.155559,40.45
783,0.137011,40.49
784,0.107832,40.53
785,0.139117,40.56
786,0.212982,40.62
787,0.142916,40.67
788,0.285463,40.73
789,0.196726,40.76
790,0.231856,40.81
791,0.298563,40.86
792,0.179852,40.90
793,0.262818,40.97
794,0.252722,41.01
795,0.264195,41.05
796,0.237270,41.09
797,0.174727,41.14
798,0.155929,41.19
799,0.203730,41.22
