step,loss,time_seconds
676,0.206239,51.13
677,0.284358,51.23
678,0.268816,51.29
679,0.208916,51.37
680,0.228613,51.45
681,0.150402,51.54
682,0.212067,51.60
683,0.268162,51.69
684,0.260262,51.73
685,0.247699,51.82
686,0.233903,51.90
687,0.250187,51.98
688,0.204908,52.05
689,0.268062,52.11
690,0.157710,52.20
691,0.164908,52.25
692,0.273637,52.38
693,0.130621,52.48
694,0.226633,52.56
695,0.280468,52.66
696,0.278377,52.69
697,0.263325,52.81
698,0.228795,52.88
699,0.267010,53.00
700,0.267211,53.09
701,0.189179,53.15
702,0.267680,53.24
703,0.199540,53.33
704,0.330092,53.40
705,0.224769,53.48
706,0.220304,53.55
707,0.175065,53.62
708,0.273224,53.73
709,0.237452,53.83
710,0.301827,53.91
711,0.338764,54.00
712,0.203181,54.06
713,0.185328,54.10
714,0.230911,54.17
715,0.208465,54.27
716,0.170709,54.33
717,0.067769,54.34
718,0.295634,54.41
719,0.291055,54.46
720,0.242529,54.56
721,0.331760,54.63
722,0.169897,54.70
723,0.136675,54.77
724,0.199890,54.80
725,0.308138,54.92
726,0.189818,54.99
727,0.176153,55.02
728,0.266311,55.07
729,0.209424,55.18
730,0.316721,55.28
731,0.245556,55.35
732,0.261063,55.44
733,0.100047,55.50
734,0.219716,55.58
735,0.295529,55.68
736,0.194745,55.72
737,0.188049,55.79
738,0.294496,55.88
739,0.312247,55.95
740,0.360098,56.03
741,0.238556,56.07
742,0.184951,56.13
743,0.177509,56.19
744,0.244761,56.24
745,0.225923,56.28
746,0.224807,56.36
747,0.272245,56.43
748,0.277087,56.50
749,0.345853,56.57
750,0.179106,56.61
751,0.232738,56.73
752,0.219158,56.84
753,0.141752,56.88
754,0.397238,56.95
755,0.179789,57.06
756,0.222397,57.12
757,0.129176,57.18
758,0.272073,57.27
759,0.269182,57.32
760,0.265922,57.41
761,0.265772,57.49
762,0.329712,57.59
763,0.242726,57.70
764,0.145312,57.75
765,0.273633,57.80
766,0.252190,57.84
767,0.286161,57.97
768,0.210291,58.05
769,0.350176,58.17
770,0.238555,58.23
771,0.223935,58.30
772,0.224075,58.39
773,0.256973,58.45
774,0.303234,58.49
775,0.177986,58.58
776,0.167181,58.65
777,0.227772,58.71
778,0.334045,58.78
779,0.367808,58.84
780,0.153756,58.89
781,0.143341,58.98
782,0.190734,59.04
783,0.189085,59.08
784,0.094902,59.14
785,0.166665,59.21
786,0.236519,59.30
787,0.311720,59.39
788,0.334550,59.47
789,0.210707,59.53
790,0.246118,59.62
791,0.232860,59.72
792,0.294613,59.82
793,0.251127,59.88
794,0.184500,59.96
795,0.139535,60.06
796,0.170237,60.12
798,0.225879,60.20
799,0.240624,60.29
